vi,en,ja
Ý thức hoặc sự hiện diện của phản xạ nôn,Consciousness or presence of a gag reflex,意識がある，または咽頭反射がある
Chấn thương miệng,Oral trauma,口腔外傷
cứng hàm (hạn chế mở miệng bao gồm co cơ),Trismus (restriction of mouth opening including spasm of muscles of mastication),開口障害（咀嚼筋の攣縮を含む開口の制限）
Tắc nghẽn đường thở bởi đường thở miệng có kích thước không phù hợp hoặc không đúng cách,Airway obstruction by an improperly sized or improperly inserted oropharyngeal airway,経口エアウェイの不適切なサイズまたは不適切な挿入による気道閉塞
Nôn và tiềm ẩn nguy cơ nôn mửa,Gagging and the potential for vomiting and aspiration,咽頭反射の誘発と嘔吐および誤嚥の恐れ
"Găng tay, khẩu trang và áo choàng","Gloves, mask, and gown",手袋，マスク，ガウン
"Kéo, khăn trải giường, hoặc các thiết bị thương mại khi cần thiết để đặt cổ và đầu","Towels, sheets, or commercial devices as needed for placing neck and head into sniffing position",頭頸部をスニッフィングポジションにする上で，必要に応じてタオル，シーツ，または市販の器具
Các kích thước khác nhau của đường thở miệng họng,Various sizes of oropharyngeal airways,様々なサイズの経口エアウェイ
"Thiết bị hút và ống thông Yankauer; Kẹp Magill (nếu cần để loại bỏ các dị vật dễ tiếp cận), để loại bỏ vùng hầu họng","Suctioning apparatus and Yankauer catheter; Magill forceps (if needed to remove easily accessible foreign bodies), to clear the pharynx as needed",吸引装置およびYankauer吸引カテーテル；場合によっては（異物を取り除く必要があり，異物が容易にアクセス可能である場合）咽頭から異物を除去するためのマギル鉗子
"Ống thông mũi dạ dày, để làm giảm xẹp dạ dày","Nasogastric tube, to relieve gastric insufflation as needed",必要に応じて，胃への送気を緩和するための経鼻胃管
Một đường thở miệng-họng được sử dụng đồng thời với đường thở mũi họng có thể cải thiện oxy và thông khí.,An oropharyngeal airway used concurrently with a nasopharyngeal airway may improve oxygenation and ventilation.,経鼻エアウェイと経口エアウェイを同時に使用することで，酸素化および換気を改善できる可能性がある。
Căn chỉnh ống tai ngoài với phần xương ức có thể giúp mở đường thở trên và thiết lập vị trí tốt nhất để quan sát đường thở nếu cần đặt ống nội khí quản.,Aligning the external auditory canal with the sternal notch may help open the upper airway and establishes the best position to view the airway if endotracheal intubation becomes necessary.,ストレッチャーの上で患者を仰臥位にする。
"Mức độ nâng đầu phù hợp nhất với tai và phần xương ức khác nhau (ví dụ, không có ở trẻ em có chẩm lớn, mức độ lớn ở bệnh nhân béo phì).","The degree of head elevation that best aligns the ear and sternal notch varies (eg, none in children with a large occiput, a large degree in obese patients).",正しいスニッフィングポジションをとらせることで，上気道を空気が最も通りやすい形にする。正しいスニッフィングポジションでは，外耳道と胸骨切痕が同一平面上に来る。スニッフィングポジションをとらせるには，折りたたんだタオルなどを頭部，頸部，または肩の下に置く必要があることもあり，そうすることで頸部が体幹に固定され，頭部が伸展される。肥満患者では肩および頸部を十分に挙上するために，たくさんの折りたたんだタオルまたは市販の傾斜装置が必要になる場合がある。小児の場合は通常，後頭部の突出に合わせて肩の後ろにパッドを置く必要がある。
Cho bệnh nhân nằm ngửa trên giường.,Position the patient supine on the stretcher.,患者をストレッチャー上でわずかに傾斜をつけた仰臥位にする。
"Căn chỉnh đường thở trên để thông khí tối ưu bằng cách đặt bệnh nhân vào vị trí hít thở. Vị trí hít vào mũi phù hợp sẽ sắp xếp phù hợp với ống tai ngoài với giữa xương ức. Để đạt được tư thế hít thở, khăn gấp hoặc các vật liệu khác có thể cần phải được đặt dưới đầu, cổ hoặc vai, để cổ được uốn cong trên cơ thể và đầu được mở rộng trên cổ. Ở những bệnh nhân béo phì, có thể cần nhiều khăn gấp hoặc dụng cụ nâng dốc thương mại để nâng cao vai và cổ. Ở trẻ em, đệm thường là cần thiết sau vai để phù hợp với chẩm mở rộng.","Align the upper airway for optimal air passage by placing the patient into a proper sniffing position. Proper sniffing position aligns the external auditory canal with the sternal notch. To achieve the sniffing position, folded towels or other materials may need to be placed under the head, neck, or shoulders, so that the neck is flexed on the body and the head is extended on the neck. In obese patients, many folded towels or a commercial ramp device may be needed to sufficiently elevate the shoulders and neck. In children, padding is usually needed behind the shoulders to accommodate the enlarged occiput.",頸部の動きを防止するために，下顎挙上法のみを用いるか，または頭部後屈を避けてあご先挙上のみで，上気道を用手的に開通させる。
Đặt bệnh nhân nằm ngửa hoặc nghiêng một chút trên cáng.,Position the patient supine or at a slight incline on the stretcher.,外耳道が胸骨切痕と同一平面上になるようにすることで，上気道が開通し，また気管挿管が必要になった場合にも気道の可視化に最適な位置を確保できる。
Tránh di chuyển cổ và chỉ sử dụng các động tác đẩy hàm hoặc nâng cằm mà không cần nghiêng đầu để thuận tiện cho việc mở đường thở trên.,Avoid moving the neck and use only the jaw-thrust maneuver or chin lift without head tilt to manually facilitate opening of the upper airway.,耳が胸骨切痕と同一平面上になるようにするために必要な頭部の挙上の程度は様々である（例，後頭部の大きな小児では挙上せず，肥満患者では大幅に行う）。
"Khi cần thiết, làm sạch vùng hầu họng của các chất tiết gây tắc nghẽn, chất nôn hoặc chất lạ.","As necessary, clear the oropharynx of obstructing secretions, vomitus, or foreign material.",必要に応じて，中咽頭から分泌物，吐瀉物，または異物を取り除く。
Xác định kích thước phù hợp của đường thở miệng-họng. Giữ đường thở bên cạnh má của bệnh nhân với mặt bích ở góc miệng. Đầu của một đường thở có kích thước phù hợp sẽ chỉ đạt được góc của xương hàm dưới.,Determine the appropriate size of the oropharyngeal airway. Hold the airway beside the patient’s cheek with the flange at the corner of the mouth. The tip of an appropriately sized airway should just reach the angle of the mandibular ramus.,経口エアウェイの適切なサイズを判定する。患者の頬の横にエアウェイを把持し，フランジを患者の口角に当てる。エアウェイのサイズが適切であれば，先端がちょうど下顎枝の角に届くはずである。
"Tiếp theo, bắt đầu đưa đường thở vào miệng với đầu chỉ vào vòm miệng (tức là lõm lên).","Next, begin inserting the airway into the mouth with the tip pointed to the roof of the mouth (ie, concave up).",次に，先端を口蓋に向けて（すなわち，凹部を上にして）エアウェイを口に挿入し始める。
"Để tránh cắt môi, hãy cẩn thận không véo môi giữa răng và đường thở khi bạn chèn đường thở.","To avoid cutting the lips, be careful not to pinch the lips between the teeth and the airway as you insert the airway.",唇を切ってしまわないよう，エアウェイの挿入する際は歯とエアウェイとで唇を挟まないように注意する。
Xoay đường thở 180 độ khi bạn đưa nó vào phía sau miệng. Kỹ thuật này ngăn chặn đường thở đẩy lưỡi ra phía sau trong quá trình đưa vào và làm tắc nghẽn đường thở.,Rotate the airway 180 degrees as you advance it into the posterior oropharynx. This technique prevents the airway from pushing the tongue backward during insertion and further obstructing the airway.,エアウェイを咽頭後壁に進めるに連れて180度回転させる。こうすることで，挿入中にエアウェイが舌を後方に押し，気道をさらに閉塞してしまうのを避けられる。
"Khi lắp vào hoàn toàn, mặt phẳng của thiết bị sẽ nằm trên môi của bệnh nhân.","When fully inserted, the flange of the device should rest at the patient’s lips.",完全に挿入すると，エアウェイのフランジが患者の唇に当たるはずである。
"Ngoài ra, sử dụng một dụng cụ đè lưỡi để ấn lưỡi khi bạn chèn đường thở với đầu chỉ xuống sàn miệng (tức là lõm xuống). Sử dụng lưỡi giúp ngăn đường thở đẩy lưỡi ra sau khi đưa lưỡi vào.","Alternatively, use a tongue blade to depress the tongue as you insert the airway with the tip pointed to the floor of the mouth (ie, concave down). Use of the tongue blade prevents the airway from pushing the tongue backward during insertion.",あるいは，舌圧子で舌を押し下げながら，先端を口底に向けて（すなわち，凹部を下にして）エアウェイを挿入してもよい。舌圧子を使用することで，エアウェイ挿入時に舌が後方に押されるのを避けられる。
Thông khí cho bệnh nhân khi thích hợp.,Ventilate the patient as appropriate.,適切な換気を行う。
Theo dõi bệnh nhân và xác định và khắc phục bất kỳ trở ngại nào để thông khí và thở oxy thích hợp.,Monitor the patient and identify and remediate any impediments to proper ventilation and oxygenation.,患者をモニタリングし，適切な換気および酸素化の妨げになるものを特定して対処する。
"Cố định đường thở miệng-họng nếu cần giữ nguyên vị trí (ví dụ, trong quá trình thông khí cơ học sau khi đặt ống nội khí quản).","Secure the oropharyngeal airway if it should remain in place (eg, during mechanical ventilation after oral endotracheal intubation).",経口エアウェイを留置する必要がある場合は固定する（例，経口気管挿管後の機械的人工換気）。
"Chỉ sử dụng đường thở miệng nếu bệnh nhân bất tỉnh hoặc đáp ứng tối thiểu bởi vì nó có thể gây kích thích nôn, gây ra nguy cơ hít phải. Đường thở mũi họng được ưa thích hơn đối với những bệnh nhân bị suy nhược cơ thể.","Use an oropharyngeal airway only if the patient is unconscious or minimally responsive because it may stimulate gagging, which poses a risk of aspiration. Nasopharyngeal airways are preferred for obtunded patients with intact gag reflexes.",経口エアウェイは，誤嚥のリスクを伴う咽頭反射を誘発する可能性があるため，意識がないまたは最小限の反応しかない患者に限り使用する。咽頭反射は正常ながら意識障害がある患者には，経鼻エアウェイの方が望ましい。
Đường thở miệng-hầu được chỉ định cho bệnh nhân bất tỉnh,Oropharyngeal airways are indicated for unconscious patients in the setting of,経口エアウェイは，以下の状況にある意識のない患者に適応がある：
Chống chỉ định tuyệt đối,Absolute contraindications,絶対的禁忌
Chống chỉ định tương đối,Relative contraindications,相対的禁忌
"Chèn một đường thở vào miệng có thể không khả thi trong một số trường hợp, chẳng hạn như","Insertion of an oropharyngeal airway may not be feasible in some settings, such as",経口エアウェイの挿入は，以下のような状況では実施できない場合がある：
Miếng dán da hoặc gel bôi ngoài da có thể được sử dụng thay thế.,Nasopharyngeal airways may be used instead.,代わりに経鼻エアウェイが使用されることがある。
Tư thế đánh hơi - chỉ khi không có tổn thương cột sống cổ:,The sniffing position—only in the absence of cervical spine injury:,スニッフィングポジション―頸椎損傷がない場合に限る
Nếu tổn thương cột sống cổ là một khả năng:,If cervical spine injury is a possibility:,頸椎損傷の可能性がある場合：
"Mở sụn nhẫn giáp, cho dù là phẫu thuật mở sụn nhẫn giáp hoặc mở sụn nhẫn giáp qua da sử dụng một hướng dẫn, sử dụng một vết rạch qua da và màng nhẫn giáp qua đó một đường thở nhân tạo được đưa vào khí quản. Mở màng nhẫn giáp thường được thực hiện khẩn cấp, khi đặt nội khí quản bị chống chỉ định hoặc không thể thực hiện được bằng các phương pháp đặt ống thông khác và các phương pháp xử trí và thông khí không phải cuối cùng (ví dụ: các thiết bị ngoài thanh môn như là đường thở có mặt nạ thanh quản) không thể thông khí và cung cấp oxy đầy đủ cho bệnh nhân .","Cricothyrotomy, whether traditional surgical cricothyrotomy or percutaneous cricothyrotomy using a guidewire, uses an incision through the skin and cricothyroid membrane through which an artificial airway is inserted into the trachea. Cricothyrotomy is typically done emergently, when endotracheal intubation is contraindicated or unachievable by other methods of tube insertion, and non-definitive methods of airway management and ventilation (eg, extraglottic devices such as a laryngeal mask airway) fail to adequately ventilate and oxygenate the patient.",輪状甲状間膜（靱帯）切開・穿刺は，従来の外科的輪状甲状間膜切開であっても，ガイドワイヤーを用いた経皮的輪状甲状間膜穿刺であっても，皮膚および輪状甲状間膜に切り込みを入れ，そこから人工エアウェイを気管に挿入する方法である。輪状甲状間膜切開・穿刺は，気管挿管が禁忌であるか，他のチューブ挿入法では気道に到達できず，暫定的な気道管理および換気方法（すなわち，ラリンジアルマスクなどの声門上器具）で十分な換気および酸素化が得られない場合に，緊急に施行されるのが一般的である。
(Xem thêm Thiết lập và kiểm soát đường thở     Thiết lập và kiểm soát đường thở  Kiểm soát đường thở Làm thông thoáng đường thở trên Duy trì mở đường thở bằng máy thở Đôi khi hỗ trợ thở máy (Xem thêm Tổng quan về ngừng thở)  đọc thêm     ),(See also Airway Establishment and Control     Airway Establishment and Control  Airway management consists of Clearing the upper airway Maintaining an open air passage with a mechanical device Sometimes assisting respirations (See also Overview of Respiratory Arrest.)  read more     .),（気道確保および管理     気道確保および管理  気道管理は以下から成る： 上気道からの異物の除去 専用器具による気道開通性の維持 ときに呼吸補助 （ 呼吸停止の概要も参照のこと。）  さらに読む     も参照のこと。）
Mở màng nhẫn giáp sử dụng dây dẫn hướng tương tự như kỹ thuật Seldinger     Cách đặt ống thông tĩnh mạch đùi  Đặt ống thông tĩnh mạch đùi qua da sử dụng các mốc giải phẫu để dẫn hướng cho việc chọc tĩnh mạch và kỹ thuật Seldinger để luồn một ống thông tĩnh mạch trung tâm qua tĩnh mạch đùi và vào tĩnh...  đọc thêm      (ống thông qua dây dẫn hướng) đặt đường truyền tĩnh mạch trung tâm và có thể phù hợp hơn cho người thao tác có kinh nghiệm phẫu thuật hạn chế.,Cricothyrotomy using a guidewire is similar to the Seldinger technique     How To Do Femoral Vein Cannulation  Percutaneous cannulation of the femoral vein uses anatomic landmarks to guide venipuncture and a Seldinger technique to thread a central venous catheter through the femoral vein and into the...  read more      (catheter over guidewire) of central venous line insertion and may be more suitable for operators with limited surgical experience.,ガイドワイヤーを用いた輪状甲状間膜穿刺は，Seldinger法（ガイドワイヤー上にカテーテルを通す方法）による中心静脈カテーテルの挿入に類似しており，手術経験の限られた術者に，より適している可能性がある。
"Mở màng nhẫn giáp bằng kim, một phương pháp tạm thời sử dụng ống thông mạch 12 gauge đến 14 gauge gắn vào bộ bóng bóp-van-mặt nạ (hoặc máy thở phản lực nếu có), là phương pháp mở màng nhẫn giáp được ưu tiên cho trẻ em < 10 tuổi. Thiết bị này có thể được lắp ráp dễ dàng bằng cách gắn ống tiêm vào một ống tiêm có dung tích 3 mL. Sau đó, lắp ống nối từ ống nội khí quản (ET) 6,5 mm ống tiêm và bệnh nhân được thông khí bằng cách sử dụng bộ bóng bóp-van-mặt nạ được lắp vào ống nối của ống ET.","Needle cricothyrotomy, a temporary method that uses a 12- to 14-gauge angiocatheter attached to a bag-valve-mask device (or a jet ventilator if available), is the preferred cricothyrotomy method for children < 10 years old. This apparatus can be easily assembled by attaching the angiocatheter to a 3-mL syringe with the plunger removed. The adapter from a 6.5-mm endotracheal (ET) tube is then attached to the syringe, and the patient is ventilated using a bag-valve-mask device attached to the ET tube adapter.",輪状甲状間膜穿刺は，ジェットベンチレーターに接続した12～14Gの血管カテーテルを用いる一時的な方法であり，10歳未満の小児に対して好まれる方法である。このような器具は次のようにして容易にセットできる；まずプランジャーを外した3mLシリンジに血管カテーテルを取り付ける。そして，そのシリンジに6.5mmの気管内チューブのアダプターを取り付け，その気管内チューブのアダプターにバッグバルブマスクを取り付けて患者の換気を行う。
