vi,en,ja
"Một số triệu chứng của đường tiêu hóa trên là biểu hiện của bệnh cơ năng     Bệnh lý tiêu hóa chức năng  Thông thường là không tìm thấy những bất thường đo lường được về sinh lý hoặc cấu trúc ở những bệnh nhân có các triệu chứng tiêu hóa, thậm chí sau khi đã đánh giá tổng thể. Những bệnh nhân này...  đọc thêm      (nghĩa là không thấy nguyên nhân sinh lý nào sau khi đánh giá tổng thể).","Some upper GI complaints represent functional illness     Disorders of Gut-Brain Interaction  Disorders of gut-brain interaction are characterized by gastrointestinal symptoms of visceral hypersensitivity factors, such as motility disturbance, altered microbiota, mucosal and immune function...  read more      (ie, no physiologic cause found after extensive evaluation).",上部消化管の一部の愁訴は 機能性疾患     機能性消化管疾患  しばしば，消化管の愁訴につながる客観的に測定可能な器質的または生理学的異常が（広範な評価を行っても）認められないことがある。そのような患者は機能性疾患を有しているとされ，消化器専門医への紹介の30～50％を占めている。 機能性疾患では，上部消化管症状のみがみられる場合，下部消化管症状のみがみられる場合，これら両方がみられる場合がある。（...  さらに読む     を意味する（すなわち，広範な評価を行っても器質的原因が見つからない）。
Triệu chứng của đường tiêu hóa dưới bao gồm,Lower GI complaints include,下部消化管の愁訴としては以下のものがある：
"Táo bón     Táo bón  Táo bón là khó khăn hoặc giảm tần suất đại tiện, phân cứng, hoặc cảm giác tống phân không hết. (Xem thêm Táo bón ở trẻ em.) Không có chức năng cơ thể nào có nhiều biến đổi và chịu ảnh hưởng...  đọc thêm","Constipation     Constipation  Constipation is difficult or infrequent passage of stool, hardness of stool, or a feeling of incomplete evacuation. (See also Constipation in Children.) No bodily function is more variable and...  read more",便秘     便秘  便秘は，排便が困難，排便回数が少ない，便が硬い，残便感がある状態である。（ 小児の便秘も参照のこと。） 排便ほど変化に富み，外部の影響を受けやすい身体機能はない。排便習慣は人によって大幅に異なり，年齢，生理機能，食事，社会的および文化的影響を受ける。何の根拠もなく排便習慣のことばかり考えている人もいる。欧米では，正常な排便回数は2～3回/...  さらに読む
"Bệnh tiêu chảy     Bệnh tiêu chảy  Phân từ 60 đến 90% là nước. Trong xã hội phương Tây, lượng phân từ 100 đến 200 g/ngày ở người lớn khỏe mạnh và 10 g/kg/ngày ở trẻ nhỏ, phụ thuộc vào lượng chất xơ không hấp thu được trong khẩu...  đọc thêm","Diarrhea     Diarrhea  Stool is 60 to 90% water. In Western society, stool amount is 100 to 200 g/day in healthy adults and 10 g/kg/day in infants, depending on the amount of unabsorbable dietary material (mainly...  read more",下痢     下痢  便の60～90％は水分である。欧米では，便の量は健康な成人で100～200g/日，乳児で10g/kg/日で，非吸収性食物（主に炭水化物）の量によって異なる。下痢は，排便量が1日当たり200gを超える場合と定義される。しかしながら，多くの人は便の流動性が高まることを下痢と考えている。これに対して，食物繊維を摂取した多くの人が体積の大きな有形...  さらに読む
"Xì hơi và đầy hơi     Triệu chứng liên quan đến hơi  Ruột chứa < 200 mL khí, trong khi đó hơi ra thải hàng ngày trung bình từ 600 đến 700 mL sau khi tiêu thụ chế độ ăn tiêu chuẩn cộng với 200 g đậu nướng. Khoảng 75% hơi trong ruột xuất phát...  đọc thêm","Gas and bloating     Gas-Related Complaints  The gut contains < 200 mL of gas, whereas daily gas expulsion averages 600 to 700 mL after consuming a standard diet plus 200 g of baked beans. About 75% of flatus is derived from colonic...  read more",ガスおよび腹部膨満     ガスに関連する愁訴  腸管内には最大200mLのガスが存在しており，標準的な食事に加えて200gの煮豆を食べた後の1日当たりのガス排出量は平均600～700mLとなる。放屁の約75％は，摂取した栄養素および内因性糖タンパク質の大腸での細菌発酵に由来する。ガスには水素（H2），メタン（CH4），および二酸化炭素（CO2）が含まれている。放屁の臭気は硫化水素の濃度...  さらに読む
"Đau bụng     Đau bụng cấp tính  Đau bụng thường gặp và thường không quan trọng. Tuy nhiên, đau bụng dữ dội và cấp tính hầu như luôn là triệu chứng của bệnh lí trong ổ bụng. Nó có thể là chỉ điểm duy nhất cho biết cần phẫu...  đọc thêm","Abdominal pain     Acute Abdominal Pain  Abdominal pain is common and often inconsequential. Acute and severe abdominal pain, however, is almost always a symptom of intra-abdominal disease. It may be the sole indicator of the need...  read more",腹痛     急性腹痛  腹痛はよくみられる症状であり，重要ではない場合も多い。しかしながら，急性および重度の腹痛はほぼ常に腹腔内疾患の症状である。手術の必要性に関する唯一の指標である場合もあり，迅速な対処が必要である：特定の疾患では，症状出現から6時間未満で 腸管の壊疽および穿孔が起こる可能性がある（例，絞扼性閉塞または動脈塞栓による腸管への血液供給阻害）。腹痛...  さらに読む
"Đau hoặc chảy máu trực tràng     Viêm trực tràng  Viêm trực tràng là viêm niêm mạc trực tràng, có thể do nhiễm trùng, bệnh viêm ruột hoặc bức xạ. Các triệu chứng bao gồm cảm giác khó chịu ở trực tràng và chảy máu. Chẩn đoán bằng nội soi trực...  đọc thêm","Rectal pain or bleeding     Proctitis  Proctitis is inflammation of the rectal mucosa, which may result from infection, inflammatory bowel disease, or radiation. Symptoms are rectal discomfort and bleeding. Diagnosis is by proctoscopy...  read more",直腸痛または直腸出血     直腸炎  直腸炎は直腸粘膜の炎症で，感染，炎症性腸疾患，または放射線照射により生じることがある。症状は直腸の不快感および出血である。診断はS状結腸鏡検査により行い，通常，培養および生検を併用する。治療法は病因によって異なる。 （ 肛門直腸疾患の評価も参照のこと。） 直腸炎は以下の臨床像を呈することがある：...  さらに読む
"Cũng như các triệu chứng của GI trên, các triệu chứng của GI dưới là do bệnh lý sinh lý hoặc do rối loạn chức năng (tức là không tìm thấy các bất thường về X-quang, sinh hóa hoặc bệnh lý ngay cả sau khi đánh giá toàn diện). Không rõ nguyên nhân gây các triệu chứng cơ năng. Bằng chứng gợi ý rằng bệnh nhân có các triệu chứng cơ năng có thể có rối loạn nhu động hoặc cảm giác đau, hoặc cả hai; nghĩa là họ thấy như những cảm giác khó chịu nhất định (ví dụ: căng giãn lòng ống tiêu hóa, có nhu động) mà người khác không nhận thấy.","As with upper GI complaints, lower GI complaints result from physiologic illness or represent a functional disorder (ie, no radiologic, biochemical, or pathologic abnormalities are found even after extensive evaluation). The reasons for functional symptoms are not clear. Evidence suggests that patients with functional symptoms may have disturbances of motility, nociception, or both; ie, they perceive as uncomfortable certain sensations (eg, luminal distention, peristalsis) that other people do not find distressing.",上部消化管の愁訴と同様に，下部消化管の愁訴は器質的疾患に起因するか，あるいは機能性疾患（すなわち，広範な評価を行っても，放射線学的，生化学的，病理学的原因が見つからない場合）を反映している。 機能性疾患の症状の原因は不明である。機能性疾患の症状を呈する患者では蠕動障害，痛覚障害，またはその両方が認められることが所見から示唆されており，すなわち，他人が苦痛と感じないような特定の感覚（例，消化管内腔拡張，蠕動）を不快と感じる。
Lịch sử,History,病歴
Khám thực thể,Physical examination,身体診察
Các dấu hiệu cảnh báo,Red flags,警戒すべき事項（Red Flag）
Giải thích các dấu hiệu,Interpretation of findings,所見の解釈
Tài liệu tham khảo về đánh giá,Evaluation reference,評価に関する参考文献
Xét nghiệm,Testing,検査
"Đau bụng mạn tính (Chronic abdominal pain, CAP) kéo dài hơn 3 tháng liên tục hoặc ngắt quãng. Đau bụng không liên tục có thể xem như đau bụng tái phát (RAP). Đau bụng cấp     Đau bụng cấp tính  Đau bụng thường gặp và thường không quan trọng. Tuy nhiên, đau bụng dữ dội và cấp tính hầu như luôn là triệu chứng của bệnh lí trong ổ bụng. Nó có thể là chỉ điểm duy nhất cho biết cần phẫu...  đọc thêm      được thảo luận ở tài liệu khác. Đau bụng mạn tính xảy ra bất kỳ lứa tuổi nào sau 5 tuổi. Tối đa 10% số trẻ em cần được đánh giá tình trạng đau bụng tái phát. Khoảng 2% số người lớn, chủ yếu là phụ nữ, có đau bụng mạn tính (tỷ lệ phần trăm cao hơn nhiều ở người trưởng thành có một số loại triệu chứng tiêu hóa [GI] mạn tính, bao gồm khó tiêu không loét và các rối loạn nhu động ruột khác).","Chronic abdominal pain (CAP) is pain that persists for more than 3 months either continuously or intermittently. Intermittent pain may be referred to as recurrent abdominal pain (RAP). Acute abdominal pain     Acute Abdominal Pain  Abdominal pain is common and often inconsequential. Acute and severe abdominal pain, however, is almost always a symptom of intra-abdominal disease. It may be the sole indicator of the need...  read more      is discussed elsewhere. CAP occurs any time after 5 years of age. Up to 10% of children require evaluation for RAP. About 2% of adults, predominantly women, have CAP (a much higher percentage of adults have some type of chronic gastrointestinal [GI] symptoms, including nonulcer dyspepsia and various bowel disturbances).",慢性腹痛とは，3カ月以上にわたり連続的または間欠的に持続する腹痛のことである。間欠的な腹痛は，反復性腹痛と呼ばれることもある。 急性腹痛     急性腹痛  腹痛はよくみられる症状であり，重要ではない場合も多い。しかしながら，急性および重度の腹痛はほぼ常に腹腔内疾患の症状である。手術の必要性に関する唯一の指標である場合もあり，迅速な対処が必要である：特定の疾患では，症状出現から6時間未満で 腸管の壊疽および穿孔が起こる可能性がある（例，絞扼性閉塞または動脈塞栓による腸管への血液供給阻害）。腹痛...  さらに読む     については，本マニュアルの別の箇所で考察されている。慢性腹痛は5歳以降のいずれの年齢でも起こりうる。最大10％の小児患者で反復性腹痛の評価が必要になる。慢性腹痛は成人の約2％にみられ，その多くは女性である（機能性ディスペプシアや様々な腸管機能障害など，何らかの慢性消化管症状を有する成人では，頻度がはるかに高くなる）。
"Các rối loại cơ năng ở đường ruột thường là các nguyên nhân phổ biến gây đau bụng mạn tính. Hội chứng ruột kích thích     Hội chứng ruột kích thích (IBS)  Hội chứng ruột kích thích được đặc trưng bởi sự khó chịu hoặc đau bụng tái phát với ít nhất hai đặc điểm sau: liên quan đến đại tiện, liên quan đến số lần đại tiện, hoặc liên quan đến sự thay...  đọc thêm      (Irritable bowel syndrome, IBS) là một tình trạng rối loạn cơ năng ruột gây đau bụng tái phát và thay đổi thói quen đại tiện. Hội chứng đau bụng trung ương, trước đây được gọi là đau bụng cơ năng là một tình trạng rối loạn tương tự nhưng ít phổ biến hơn mà không gây thay đổi thói quen đại tiện. (Xem thêm hướng dẫn thực hành 2021 của Hiệp hội Tiêu hóa Hoa Kỳ về kiểm soát IBS.)","Functional bowel disorders are common causes of chronic abdominal pain. Irritable bowel syndrome     Irritable Bowel Syndrome (IBS)  Irritable bowel syndrome is characterized by recurrent abdominal discomfort or pain with at least two of the following characteristics: relation to defecation, association with a change in frequency...  read more      (IBS) is a functional bowel disorder that causes recurrent abdominal pain and altered bowel habits. Centrally mediated abdominal pain syndrome, previously known as functional abdominal pain, is a similar but less common disorder that does not cause altered bowel habits. (See the American College of Gastroenterology's 2021 clinical guideline for the management of IBS.)",機能性腸疾患は慢性腹痛の一般的な原因である。 過敏性腸症候群     過敏性腸症候群（IBS）  過敏性腸症候群は，繰り返す腹部不快感または腹痛を特徴とし，さらに排便との関連性，排便頻度の変化との関連性，または便の硬さの変化との関連性という特徴のうち少なくとも2つが認められる。原因は不明であり，病態生理も完全には解明されていない。診断は臨床的に行う。治療は対症療法であり，食事管理と薬剤投与（抗コリン薬やセロトニン受容体に作用する薬剤な...  さらに読む     （IBS）は，繰り返す腹痛や排便習慣の変化を引き起こす機能性腸疾患である。機能性腹痛は，同様の疾患であるが，頻度がより低く，排便習慣の変化を引き起こさない。
"Gần như tất cả các bệnh nhân đau bụng mạn tính đều đã được đánh giá trước đó nhưng không có chẩn đoán rõ ràng sau khi đã khai thác bệnh sử, khám thực thể và làm một số xét nghiệm cơ bản.","Nearly all patients with CAP have had a prior medical evaluation that did not yield a diagnosis after history, physical, and basic testing.",ほぼ全ての慢性腹痛患者が，病歴聴取，身体診察，および基本的検査を受けても診断がつかないという経験をする。
"Nguyên nhân sinh lý gây đau bụng mạn tính (xem bảng Các nguyên nhân sinh lý gây đau bụng mạn tính     Các nguyên nhân sinh lý của đau bụng mạn tính          ) là do kích thích của các thụ thể nội tạng (cơ học, hóa học hoặc cả hai). Đau có thể khu trú hoặc có liên quan, tùy thuộc vào sự phân bố dây thần kinh và mức độ liên quan của nội tạng cụ thể.","Physiologic causes of chronic abdominal pain (see table Physiologic Causes of Chronic Abdominal Pain     Physiologic Causes of Chronic Abdominal Pain          ) result from stimuli of visceral receptors (mechanical, chemical, or both). Pain may be localized or referred, depending on innervation and specific organ involvement.",慢性腹痛の器質的原因（慢性腹痛の器質的原因     慢性腹痛の器質的原因          の表を参照）は，内臓受容器（機械的，化学的，またはその両方）の刺激に起因する。疼痛は神経支配と障害される臓器に応じて，限局痛の場合もあれば，関連痛の場合もある。
"Hội chứng ruột kích thích và đau bụng trung ương gây đau kéo dài > 6 tháng mà không có bằng chứng về tình trạng bất thường về sinh lý. Sinh lý bệnh của các rối loạn cơ năng này phức tạp và dường như liên quan đến thay đổi nhu động ruột, tăng khả năng nhận cảm đau của nội tạng và các yếu tố tâm lý. Tăng cảm giác đau nội tạng đề cập đến quá mẫn cảm với mức độ căng giãn trong lòng ống tiêu hóa và tăng cao cảm nhận đau khi có lượng khí bình thường trong đường ruột; nó có thể là kết quả của quá trình chỉnh sửa lại các con đường thần kinh ở trục não-ruột.","Irritable bowel syndrome and centrally mediated abdominal pain syndrome cause pain that persists > 6 months without evidence of physiologic disease. The pathophysiology of these disorders is complex and seems to involve altered intestinal motility, increased visceral nociception, and psychologic factors. Visceral hyperalgesia refers to hypersensitivity to normal amounts of intraluminal distention and heightened perception of pain in the presence of normal quantities of intestinal gas; it may result from remodeling of neural pathways in the brain-gut axis.",過敏性腸症候群と機能性腹痛は，器質的疾患の所見を認めない状態で6カ月以上持続する疼痛を引き起こす。これらの機能障害の病態生理は複雑であり，腸管運動の変化，内臓侵害受容の亢進，および心理的因子が関与していると考えられている。内臓痛覚過敏とは，正常量の管腔内膨張に対する過敏性や正常量の腸内ガスの存在下での痛覚過敏を指し，脳腸相関における神経経路のリモデリングの結果として生じる可能性がある。
"Có thể 10% bệnh nhân có một bệnh lý sinh lý ẩn giấu ( xem Bảng: Các nguyên nhân sinh lý của đau bụng mạn tính     Các nguyên nhân sinh lý của đau bụng mạn tính          ); phần còn lại có một quá trình chức năng. Tuy nhiên, có thể khó xác định một bất thường cụ thể (ví dụ: dính, u nang buồng trứng     Khối u buồng trứng lành tính  Các khối buồng trứng lành tính bao gồm các u nang chức năng (ví dụ: u nang hoàng thể) và khối u (ví dụ: u quái lành tính). Hầu hết là không có triệu chứng; một số gây đau vùng chậu. Đánh giá...  đọc thêm     , lạc nội mạc tử cung     Lạc nội mạc tử cung  Trong lạc nội mạc tử cung, các tế bào nội mạc tử cung bị lạc chỗ trong tiểu khung bên ngoài buồng tử cung. Các triệu chứng tùy thuộc vào vị trí của lạc nội mạc tử cung. Bộ ba triệu chứng kinh...  đọc thêm     ) là nguyên nhân gây triệu chứng đau bụng mạn tính hoặc một phát hiện tình cờ.","Perhaps 10% of patients have an occult physiologic illness ( see Table: Physiologic Causes of Chronic Abdominal Pain     Physiologic Causes of Chronic Abdominal Pain          ); the remainder have a functional process. However, determining whether a particular abnormality (eg, adhesions, ovarian cyst     Benign Ovarian Masses  Benign ovarian masses include functional cysts (eg, corpus luteum cysts) and neoplasms (eg, benign teratomas). Most are asymptomatic; some cause pelvic pain. Evaluation includes pelvic examination...  read more     , endometriosis     Endometriosis  In endometriosis, functioning endometrial cells are implanted in the pelvis outside the uterine cavity. Symptoms depend on location of the implants. The classic triad of symptoms is dysmenorrhea...  read more     ) is the cause of CAP symptoms or an incidental finding can be difficult.",おそらく，10％の患者には未検出の器質的疾患（ Professional.see table 慢性腹痛の器質的原因     慢性腹痛の器質的原因          ）が存在すると考えられ，残りの患者は機能性の病態を有している。ただし，特定の異常（例，癒着， 卵巣嚢胞     良性卵巣腫瘤  良性卵巣腫瘤には，機能性嚢胞と腫瘍が含まれる；ほとんどは無症状である。治療は患者の生殖に関する状況によって異なる。 機能性嚢胞には以下の2種類がある： 卵胞嚢胞：グラーフ卵胞から生じる。 黄体嚢胞：黄体から生じる。これらは嚢胞内腔に出血し，卵巣被膜を膨張させたり，腹膜腔内に破裂することがある。 大部分の機能性嚢胞は直径1.5cm未満である；5cmを超えるものはほとんどない。機能性嚢胞は通常，数日～数週間で自然に消失する。機能性嚢胞は閉経...  さらに読む     ， 子宮内膜症     子宮内膜症  子宮内膜症では，骨盤内の子宮腔以外の部位に機能をもった子宮内膜組織が生着する。症状は生着の部位によって異なり，月経困難症，性交痛，不妊，排尿困難，排便時の痛みなどがみられる。症状の重症度は病期と無関係である。診断は直接観察のほか，ときに生検（通常は腹腔鏡下）による。治療法としては，抗炎症薬，卵巣機能と子宮内膜組織の増殖を抑制する薬剤，子宮...  さらに読む     ）が慢性腹痛の原因であるのか，偶発的な所見でしかないのかは，判断が難しい場合がある。
"Tiền sử của bệnh hiện tại nên tìm vị trí đau, chất lượng, thời gian, thời gian và tần suất tái phát, và các yếu tố làm nặng thêm hoặc giảm đau (đặc biệt là khi ăn hoặc di chuyển ruột). Cần phải có một điều tra cụ thể về việc sữa và các sản phẩm sữa có gây ra các cơn đau thắt ở bụng, đầy hơi hoặc chướng bụng, không vì không dung nạp lactose là phổ biến, đặc biệt là ở người da đen, người Tây Ban Nha, người Châu Á (đặc biệt là các nước Đông Á) và thổ dân châu Mỹ với tần suất tăng lên theo độ tuổi.","History of present illness should elicit pain location, quality, duration, timing and frequency of recurrence, and factors that worsen or relieve pain (particularly eating or moving bowels). A specific inquiry as to whether milk and milk products cause abdominal cramps, bloating, or distention is needed because lactose intolerance is common, especially among Black people, Hispanics, Asians (particularly East Asian countries), and American Indians with increasing frequency with aging.",現病歴の聴取では，疼痛の部位，質，持続時間，再発のタイミングと頻度，疼痛を悪化または軽減させる因子（特に食事または排便）について聞き出すべきである。乳糖不耐症は頻度が高く，特に黒人，ヒスパニック，アジア系（特に東アジア諸国），およびアメリカンインディアンでは加齢とともに頻度が高まるため，牛乳や乳製品が腹部の痙攣，膨満，または膨隆を引き起こすかどうかを具体的に尋ねる必要がある。
"Xem xét các hệ thống tìm các triệu chứng tiêu hóa đi kèm như trào ngược dạ dày thực quản, chán ăn, đầy hơi hoặc ""ợ"", buồn nôn, nôn, vàng da, đại tiện phân đen, đi tiểu ra máu, nôn ra máu, sụt cân và có nhầy hoặc có máu trong phân. Các triệu chứng của đường ruột như tiêu chảy, táo bón và thay độ đặc, màu sắc hoặc kiểu đại tiện, là đặc biệt quan trọng.","Review of systems seeks concomitant GI symptoms such as gastroesophageal reflux, anorexia, bloating or “gas,” nausea, vomiting, jaundice, melena, hematuria, hematemesis, weight loss, and mucus or blood in the stool. Bowel symptoms, such as diarrhea, constipation, and changes in stool consistency, color, or elimination pattern, are particularly important.",システムレビュー（review of systems）では，胃食道逆流，食欲不振，腹部膨満またはガス，悪心，嘔吐，黄疸，黒色便，血尿，吐血，体重減少，粘液便，血便などの併発する消化管症状がないか検討する。下痢や便秘，便の硬さ，色，排便パターンの変化などの腸管症状が特に重要である。
"Tiền sử ăn kiêng rất quan trọng. Ví dụ: uống một lượng lớn đồ uống cola, nước ép trái cây (có thể có lượng đường fructose và sorbitol đáng kể), hoặc các thực phẩm tạo khí (ví dụ: đậu, hành tây, bắp cải, súp lơ) có thể là nguyên nhân tạo ra cơn đau bụng khó hiểu.","Diet history is important. For example, ingestion of large amounts of cola beverages, fruit juices (which may contain significant quantities of fructose and sorbitol), or gas-producing foods (eg, beans, onions, cabbage, cauliflower) can account for otherwise puzzling abdominal pain.",食事歴が重要である。例えば，コーラ飲料，フルーツジュース（かなりの量の果糖とソルビトールを含むことがある），またはガスを発生させる食物（例，豆類，タマネギ，キャベツ，カリフラワー）の大量摂取で不可解な腹痛を説明できることがある。
Bệnh sử trong quá khứ cần phải bao gồm đặc điểm và thời gian của bất cứ lần phẫu thuật ổ bụng nào và các kết quả các xét nghiệm trước đây đã làm và các phương pháp đã điều trị đã dùng thử. Tiền sử dùng thuốc cần phải bao gồm chi tiết liên quan đến việc sử dụng thuốc theo đơn và bất hợp pháp cũng như rượu.,Past medical history should include nature and timing of any abdominal surgery and the results of previous tests that have been done and treatments that have been tried. A drug history should include details concerning prescription and illicit drug use as well as alcohol.,既往歴には，全ての腹部手術の種類と時期，以前受けた検査および試みられた治療の結果を含めるべきである。薬歴には，処方薬および違法薬物使用に加えて飲酒に関する詳細を含めるべきである。
