en,vi,ja,url
"Disorders of Gut-Brain Interaction  Disorders of gut-brain interaction are characterized by gastrointestinal symptoms of visceral hypersensitivity factors, such as motility disturbance, altered microbiota, mucosal and immune function...  read more","Bệnh lý tiêu hóa chức năng  Thông thường là không tìm thấy những bất thường đo lường được về sinh lý hoặc cấu trúc ở những bệnh nhân có các triệu chứng tiêu hóa, thậm chí sau khi đã đánh giá tổng thể. Những bệnh nhân này...  đọc thêm",機能性消化管疾患  しばしば，消化管の愁訴につながる客観的に測定可能な器質的または生理学的異常が（広範な評価を行っても）認められないことがある。そのような患者は機能性疾患を有しているとされ，消化器専門医への紹介の30～50％を占めている。 機能性疾患では，上部消化管症状のみがみられる場合，下部消化管症状のみがみられる場合，これら両方がみられる場合がある。（...  さらに読む,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/overview-of-gastrointestinal-symptoms
Lower GI complaints include,Triệu chứng của đường tiêu hóa dưới bao gồm,下部消化管の愁訴としては以下のものがある：,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/overview-of-gastrointestinal-symptoms
"Constipation  Constipation is difficult or infrequent passage of stool, hardness of stool, or a feeling of incomplete evacuation. (See also Constipation in Children.) No bodily function is more variable and...  read more","Táo bón  Táo bón là khó khăn hoặc giảm tần suất đại tiện, phân cứng, hoặc cảm giác tống phân không hết. (Xem thêm Táo bón ở trẻ em.) Không có chức năng cơ thể nào có nhiều biến đổi và chịu ảnh hưởng...  đọc thêm",便秘  便秘は，排便が困難，排便回数が少ない，便が硬い，残便感がある状態である。（ 小児の便秘も参照のこと。） 排便ほど変化に富み，外部の影響を受けやすい身体機能はない。排便習慣は人によって大幅に異なり，年齢，生理機能，食事，社会的および文化的影響を受ける。何の根拠もなく排便習慣のことばかり考えている人もいる。欧米では，正常な排便回数は2～3回/...  さらに読む,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/overview-of-gastrointestinal-symptoms
"Diarrhea  Stool is 60 to 90% water. In Western society, stool amount is 100 to 200 g/day in healthy adults and 10 g/kg/day in infants, depending on the amount of unabsorbable dietary material (mainly...  read more","Bệnh tiêu chảy  Phân từ 60 đến 90% là nước. Trong xã hội phương Tây, lượng phân từ 100 đến 200 g/ngày ở người lớn khỏe mạnh và 10 g/kg/ngày ở trẻ nhỏ, phụ thuộc vào lượng chất xơ không hấp thu được trong khẩu...  đọc thêm",下痢  便の60～90％は水分である。欧米では，便の量は健康な成人で100～200g/日，乳児で10g/kg/日で，非吸収性食物（主に炭水化物）の量によって異なる。下痢は，排便量が1日当たり200gを超える場合と定義される。しかしながら，多くの人は便の流動性が高まることを下痢と考えている。これに対して，食物繊維を摂取した多くの人が体積の大きな有形...  さらに読む,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/overview-of-gastrointestinal-symptoms
"Gas-Related Complaints  The gut contains < 200 mL of gas, whereas daily gas expulsion averages 600 to 700 mL after consuming a standard diet plus 200 g of baked beans. About 75% of flatus is derived from colonic...  read more","Triệu chứng liên quan đến hơi  Ruột chứa < 200 mL khí, trong khi đó hơi ra thải hàng ngày trung bình từ 600 đến 700 mL sau khi tiêu thụ chế độ ăn tiêu chuẩn cộng với 200 g đậu nướng. Khoảng 75% hơi trong ruột xuất phát...  đọc thêm",ガスに関連する愁訴  腸管内には最大200mLのガスが存在しており，標準的な食事に加えて200gの煮豆を食べた後の1日当たりのガス排出量は平均600～700mLとなる。放屁の約75％は，摂取した栄養素および内因性糖タンパク質の大腸での細菌発酵に由来する。ガスには水素（H2），メタン（CH4），および二酸化炭素（CO2）が含まれている。放屁の臭気は硫化水素の濃度...  さらに読む,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/overview-of-gastrointestinal-symptoms
"Acute Abdominal Pain  Abdominal pain is common and often inconsequential. Acute and severe abdominal pain, however, is almost always a symptom of intra-abdominal disease. It may be the sole indicator of the need...  read more","Đau bụng cấp tính  Đau bụng thường gặp và thường không quan trọng. Tuy nhiên, đau bụng dữ dội và cấp tính hầu như luôn là triệu chứng của bệnh lí trong ổ bụng. Nó có thể là chỉ điểm duy nhất cho biết cần phẫu...  đọc thêm",急性腹痛  腹痛はよくみられる症状であり，重要ではない場合も多い。しかしながら，急性および重度の腹痛はほぼ常に腹腔内疾患の症状である。手術の必要性に関する唯一の指標である場合もあり，迅速な対処が必要である：特定の疾患では，症状出現から6時間未満で 腸管の壊疽および穿孔が起こる可能性がある（例，絞扼性閉塞または動脈塞栓による腸管への血液供給阻害）。腹痛...  さらに読む,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/overview-of-gastrointestinal-symptoms
"Proctitis  Proctitis is inflammation of the rectal mucosa, which may result from infection, inflammatory bowel disease, or radiation. Symptoms are rectal discomfort and bleeding. Diagnosis is by proctoscopy...  read more","Viêm trực tràng  Viêm trực tràng là viêm niêm mạc trực tràng, có thể do nhiễm trùng, bệnh viêm ruột hoặc bức xạ. Các triệu chứng bao gồm cảm giác khó chịu ở trực tràng và chảy máu. Chẩn đoán bằng nội soi trực...  đọc thêm",直腸炎  直腸炎は直腸粘膜の炎症で，感染，炎症性腸疾患，または放射線照射により生じることがある。症状は直腸の不快感および出血である。診断はS状結腸鏡検査により行い，通常，培養および生検を併用する。治療法は病因によって異なる。 （ 肛門直腸疾患の評価も参照のこと。） 直腸炎は以下の臨床像を呈することがある：...  さらに読む,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/overview-of-gastrointestinal-symptoms
"As with upper GI complaints, lower GI complaints result from physiologic illness or represent a functional disorder (ie, no radiologic, biochemical, or pathologic abnormalities are found even after extensive evaluation). The reasons for functional symptoms are not clear. Evidence suggests that patients with functional symptoms may have disturbances of motility, nociception, or both; ie, they perceive as uncomfortable certain sensations (eg, luminal distention, peristalsis) that other people do not find distressing.","Cũng như các triệu chứng của GI trên, các triệu chứng của GI dưới là do bệnh lý sinh lý hoặc do rối loạn chức năng (tức là không tìm thấy các bất thường về X-quang, sinh hóa hoặc bệnh lý ngay cả sau khi đánh giá toàn diện). Không rõ nguyên nhân gây các triệu chứng cơ năng. Bằng chứng gợi ý rằng bệnh nhân có các triệu chứng cơ năng có thể có rối loạn nhu động hoặc cảm giác đau, hoặc cả hai; nghĩa là họ thấy như những cảm giác khó chịu nhất định (ví dụ: căng giãn lòng ống tiêu hóa, có nhu động) mà người khác không nhận thấy.",上部消化管の愁訴と同様に，下部消化管の愁訴は器質的疾患に起因するか，あるいは機能性疾患（すなわち，広範な評価を行っても，放射線学的，生化学的，病理学的原因が見つからない場合）を反映している。 機能性疾患の症状の原因は不明である。機能性疾患の症状を呈する患者では蠕動障害，痛覚障害，またはその両方が認められることが所見から示唆されており，すなわち，他人が苦痛と感じないような特定の感覚（例，消化管内腔拡張，蠕動）を不快と感じる。,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/overview-of-gastrointestinal-symptoms
History,Lịch sử,病歴,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
Physical examination,Khám thực thể,身体診察,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
Red flags,Các dấu hiệu cảnh báo,警戒すべき事項（Red Flag）,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
Interpretation of findings,Giải thích các dấu hiệu,所見の解釈,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
Evaluation reference,Tài liệu tham khảo về đánh giá,評価に関する参考文献,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
Testing,Xét nghiệm,検査,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
"Acute Abdominal Pain  Abdominal pain is common and often inconsequential. Acute and severe abdominal pain, however, is almost always a symptom of intra-abdominal disease. It may be the sole indicator of the need...  read more","Đau bụng cấp tính  Đau bụng thường gặp và thường không quan trọng. Tuy nhiên, đau bụng dữ dội và cấp tính hầu như luôn là triệu chứng của bệnh lí trong ổ bụng. Nó có thể là chỉ điểm duy nhất cho biết cần phẫu...  đọc thêm",急性腹痛  腹痛はよくみられる症状であり，重要ではない場合も多い。しかしながら，急性および重度の腹痛はほぼ常に腹腔内疾患の症状である。手術の必要性に関する唯一の指標である場合もあり，迅速な対処が必要である：特定の疾患では，症状出現から6時間未満で 腸管の壊疽および穿孔が起こる可能性がある（例，絞扼性閉塞または動脈塞栓による腸管への血液供給阻害）。腹痛...  さらに読む,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
"Irritable Bowel Syndrome (IBS)  Irritable bowel syndrome is characterized by recurrent abdominal discomfort or pain with at least two of the following characteristics: relation to defecation, association with a change in frequency...  read more","Hội chứng ruột kích thích (IBS)  Hội chứng ruột kích thích được đặc trưng bởi sự khó chịu hoặc đau bụng tái phát với ít nhất hai đặc điểm sau: liên quan đến đại tiện, liên quan đến số lần đại tiện, hoặc liên quan đến sự thay...  đọc thêm",過敏性腸症候群（IBS）  過敏性腸症候群は，繰り返す腹部不快感または腹痛を特徴とし，さらに排便との関連性，排便頻度の変化との関連性，または便の硬さの変化との関連性という特徴のうち少なくとも2つが認められる。原因は不明であり，病態生理も完全には解明されていない。診断は臨床的に行う。治療は対症療法であり，食事管理と薬剤投与（抗コリン薬やセロトニン受容体に作用する薬剤な...  さらに読む,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
"Nearly all patients with CAP have had a prior medical evaluation that did not yield a diagnosis after history, physical, and basic testing.","Gần như tất cả các bệnh nhân đau bụng mạn tính đều đã được đánh giá trước đó nhưng không có chẩn đoán rõ ràng sau khi đã khai thác bệnh sử, khám thực thể và làm một số xét nghiệm cơ bản.",ほぼ全ての慢性腹痛患者が，病歴聴取，身体診察，および基本的検査を受けても診断がつかないという経験をする。,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
Physiologic Causes of Chronic Abdominal Pain,Các nguyên nhân sinh lý của đau bụng mạn tính,慢性腹痛の器質的原因,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
"Irritable bowel syndrome and centrally mediated abdominal pain syndrome cause pain that persists > 6 months without evidence of physiologic disease. The pathophysiology of these disorders is complex and seems to involve altered intestinal motility, increased visceral nociception, and psychologic factors. Visceral hyperalgesia refers to hypersensitivity to normal amounts of intraluminal distention and heightened perception of pain in the presence of normal quantities of intestinal gas; it may result from remodeling of neural pathways in the brain-gut axis.","Hội chứng ruột kích thích và đau bụng trung ương gây đau kéo dài > 6 tháng mà không có bằng chứng về tình trạng bất thường về sinh lý. Sinh lý bệnh của các rối loạn cơ năng này phức tạp và dường như liên quan đến thay đổi nhu động ruột, tăng khả năng nhận cảm đau của nội tạng và các yếu tố tâm lý. Tăng cảm giác đau nội tạng đề cập đến quá mẫn cảm với mức độ căng giãn trong lòng ống tiêu hóa và tăng cao cảm nhận đau khi có lượng khí bình thường trong đường ruột; nó có thể là kết quả của quá trình chỉnh sửa lại các con đường thần kinh ở trục não-ruột.",過敏性腸症候群と機能性腹痛は，器質的疾患の所見を認めない状態で6カ月以上持続する疼痛を引き起こす。これらの機能障害の病態生理は複雑であり，腸管運動の変化，内臓侵害受容の亢進，および心理的因子が関与していると考えられている。内臓痛覚過敏とは，正常量の管腔内膨張に対する過敏性や正常量の腸内ガスの存在下での痛覚過敏を指し，脳腸相関における神経経路のリモデリングの結果として生じる可能性がある。,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
Physiologic Causes of Chronic Abdominal Pain,Các nguyên nhân sinh lý của đau bụng mạn tính,慢性腹痛の器質的原因,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
"History of present illness should elicit pain location, quality, duration, timing and frequency of recurrence, and factors that worsen or relieve pain (particularly eating or moving bowels). A specific inquiry as to whether milk and milk products cause abdominal cramps, bloating, or distention is needed because lactose intolerance is common, especially among Black people, Hispanics, Asians (particularly East Asian countries), and American Indians with increasing frequency with aging.","Tiền sử của bệnh hiện tại nên tìm vị trí đau, chất lượng, thời gian, thời gian và tần suất tái phát, và các yếu tố làm nặng thêm hoặc giảm đau (đặc biệt là khi ăn hoặc di chuyển ruột). Cần phải có một điều tra cụ thể về việc sữa và các sản phẩm sữa có gây ra các cơn đau thắt ở bụng, đầy hơi hoặc chướng bụng, không vì không dung nạp lactose là phổ biến, đặc biệt là ở người da đen, người Tây Ban Nha, người Châu Á (đặc biệt là các nước Đông Á) và thổ dân châu Mỹ với tần suất tăng lên theo độ tuổi.",現病歴の聴取では，疼痛の部位，質，持続時間，再発のタイミングと頻度，疼痛を悪化または軽減させる因子（特に食事または排便）について聞き出すべきである。乳糖不耐症は頻度が高く，特に黒人，ヒスパニック，アジア系（特に東アジア諸国），およびアメリカンインディアンでは加齢とともに頻度が高まるため，牛乳や乳製品が腹部の痙攣，膨満，または膨隆を引き起こすかどうかを具体的に尋ねる必要がある。,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
"Review of systems seeks concomitant GI symptoms such as gastroesophageal reflux, anorexia, bloating or “gas,” nausea, vomiting, jaundice, melena, hematuria, hematemesis, weight loss, and mucus or blood in the stool. Bowel symptoms, such as diarrhea, constipation, and changes in stool consistency, color, or elimination pattern, are particularly important.","Xem xét các hệ thống tìm các triệu chứng tiêu hóa đi kèm như trào ngược dạ dày thực quản, chán ăn, đầy hơi hoặc ""ợ"", buồn nôn, nôn, vàng da, đại tiện phân đen, đi tiểu ra máu, nôn ra máu, sụt cân và có nhầy hoặc có máu trong phân. Các triệu chứng của đường ruột như tiêu chảy, táo bón và thay độ đặc, màu sắc hoặc kiểu đại tiện, là đặc biệt quan trọng.",システムレビュー（review of systems）では，胃食道逆流，食欲不振，腹部膨満またはガス，悪心，嘔吐，黄疸，黒色便，血尿，吐血，体重減少，粘液便，血便などの併発する消化管症状がないか検討する。下痢や便秘，便の硬さ，色，排便パターンの変化などの腸管症状が特に重要である。,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
"Diet history is important. For example, ingestion of large amounts of cola beverages, fruit juices (which may contain significant quantities of fructose and sorbitol), or gas-producing foods (eg, beans, onions, cabbage, cauliflower) can account for otherwise puzzling abdominal pain.","Tiền sử ăn kiêng rất quan trọng. Ví dụ: uống một lượng lớn đồ uống cola, nước ép trái cây (có thể có lượng đường fructose và sorbitol đáng kể), hoặc các thực phẩm tạo khí (ví dụ: đậu, hành tây, bắp cải, súp lơ) có thể là nguyên nhân tạo ra cơn đau bụng khó hiểu.",食事歴が重要である。例えば，コーラ飲料，フルーツジュース（かなりの量の果糖とソルビトールを含むことがある），またはガスを発生させる食物（例，豆類，タマネギ，キャベツ，カリフラワー）の大量摂取で不可解な腹痛を説明できることがある。,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
Past medical history should include nature and timing of any abdominal surgery and the results of previous tests that have been done and treatments that have been tried. A drug history should include details concerning prescription and illicit drug use as well as alcohol.,Bệnh sử trong quá khứ cần phải bao gồm đặc điểm và thời gian của bất cứ lần phẫu thuật ổ bụng nào và các kết quả các xét nghiệm trước đây đã làm và các phương pháp đã điều trị đã dùng thử. Tiền sử dùng thuốc cần phải bao gồm chi tiết liên quan đến việc sử dụng thuốc theo đơn và bất hợp pháp cũng như rượu.,既往歴には，全ての腹部手術の種類と時期，以前受けた検査および試みられた治療の結果を含めるべきである。薬歴には，処方薬および違法薬物使用に加えて飲酒に関する詳細を含めるべきである。,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
"Family history of RAP, fevers, or both should be ascertained, as well as known diagnoses of sickle cell trait or disease, familial Mediterranean fever, and porphyria.","Tiền sử gia đình bị đau bụng tái phát, sốt hoặc cả hai triệu chứng đều cần được xác định chắc chắn, cũng như biết rõ các chẩn đoán về bệnh hoặc đặc điểm hồng cầu hình liềm, sốt Địa Trung Hải có tính chất gia đình và bệnh rối loạn chuyển hóa porphyrin.",家族歴では，反復性腹痛，発熱，またはその両方の確認に加え，鎌状赤血球形質または鎌状赤血球症，家族性地中海熱，およびポルフィリン症の既知の診断も確認すべきである。,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
Review of vital signs should particularly note presence of fever or tachycardia.,Đánh giá các dấu hiệu quan trọng cần đặc biệt lưu ý về sự xuất hiện của sốt hoặc nhịp tim nhanh.,バイタルサインの評価では，発熱または頻脈の有無に特に注意すべきである。,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
"General examination should seek presence of jaundice, skin rash, and peripheral edema.","Khám tổng quát cần phải tìm biểu hiện vàng da, phát ban ở da và phù ngoại biên.",全身状態の観察では，黄疸，皮疹，末梢浮腫がないか検討すべきである。,https://www.msdmanuals.com/en-jp/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
