Id,Language,Text,Expected
b0c6db0d7316a103d0cc74bac024e11a,en,"Direct trauma (eg, nasogastric tubes)",Chấn thương trực tiếp (ví dụ: các ống thông mũi dạ dày)
8a1526c10968fbf1b0d25314c6a5a804,en,Crohn disease     Crohn Disease  Crohn disease is a chronic transmural inflammatory bowel disease that usually affects the distal ileum and colon but may occur in any part of the gastrointestinal tract. Symptoms include diarrhea...  read more,Bệnh Crohn     Bệnh Crohn  Bệnh Crohn là một bệnh viêm ruột xuyên thành mạn tính thường ảnh hưởng đến đoạn xa của hồi tràng và ruột kết nhưng có thể xảy ra ở bất kỳ phần nào của đường tiêu hóa. Triệu chứng bao gồm tiêu...  đọc thêm
fee9c723bf973effbda0811089922174,en,"Superficial erosions and punctate mucosal lesions occur. These may develop as soon as 12 hours after the initial insult. Deep erosions, ulcers, and sometimes perforation may occur in severe or untreated cases. Lesions typically occur in the body, but the antrum may also be involved.","Có vết trợt trên bề mặt và thương tổn xuyên qua lớp niêm mạc. Bệnh có thể tiến triển ngay sau 12 giờ tổn thương đầu tiên. Các vết trợt sâu, loét, và đôi khi thủng có thể xảy ra trong các trường hợp nặng hoặc không được điều trị. Các thương tổn thường xảy ra ở thân vị, nhưng hang bị cũng có thể bị ảnh hưởng."
f8a13d2e82955d5578f0a303bb54e011,en,"Acute stress gastritis, a form of erosive gastritis, occurs in about 5% of critically ill patients. The incidence increases with duration of intensive care unit stay and length of time the patient is not receiving enteral feeding. Pathogenesis likely involves hypoperfusion of the gastrointestinal mucosa, resulting in impaired mucosal defenses. Patients with head injury or burns may also have increased secretion of acid.","Viêm dạ dày cấp tính do căng thẳng, một dạng viêm dạ dày ăn mòn, xảy ra ở khoảng 5% số bệnh nhân nguy kịch. Tỷ lệ này tăng theo thời gian nằm viện của bệnh nhân ở khoa hồi sức tích cực và thời gian mà bệnh nhân không được nuôi ăn theo đường ruột. Nguyên nhân sinh bệnh có thể liên quan đến giảm tưới máu của niêm mạc đường tiêu hoá, dẫn đến suy yếu của hàng rào bảo vệ niêm mạc. Bệnh nhân bị chấn thương đầu hoặc bỏng cũng gây tăng tiết axit."
7d1ba556ad536f872fafb40ea4e558b3,en,"Patients with mild erosive gastritis are often asymptomatic, although some complain of dyspepsia, nausea, or vomiting.","Bệnh nhân viêm dạ dày ăn mòn nhẹ thường không có triệu chứng, mặc dù có thể có một số triệu chứng khó tiêu, buồn nôn, hoặc nôn."
9087e0082c47b0847a40b91e50600f70,en,"Often, the first sign is hematemesis, melena, or blood in the nasogastric aspirate, usually within 2 to 5 days of the inciting event. Bleeding is usually mild to moderate, although it can be massive if deep ulceration is present, particularly in acute stress gastritis.","Thông thường, dấu hiệu đầu tiên là nôn máu, đại tiện phân đen, hoặc máu trong dịch hút của sông mũi dạ dày, thường là trong vòng từ 2 đến 5 ngày kể từ khi khởi phát biến cố. Chảy máu thường nhẹ đến trung bình, mặc dù có thể ồ ạt nếu có loét sâu, đặc biệt là trong viêm dạ dày cấp tính do căng thẳng."
f9bc40ec40051d7ba4276d08f03127fd,en,Endoscopy,Endoscopy
af7de18f8022cda471c50063caf83384,en,Acute and chronic erosive gastritis are diagnosed endoscopically.,Viêm dạ dày ăn mòn cấp tính và mạn tính được chẩn đoán bằng nội soi.
e518f1db5d44d1d96291f9de11f41624,en,For bleeding: Endoscopic hemostasis,Đối với chảy máu: Cầm máu qua nội soi
c01aa66e8e9ace599c6fcfc4114b3556,en,For acid suppression: A proton pump inhibitor or H2 blocker,Để giảm tiết acid: Thuốc ức chế bơm proton hoặc thuốc chẹn H2
277d5be0473bb4d8baec01f180788f7c,en,"In severe gastritis, bleeding is managed with IV fluids and blood transfusion as needed. Endoscopic hemostasis should be attempted, with surgery a fallback procedure if bleeding cannot be controlled endoscopically. Angiography is unlikely to stop severe gastric bleeding because of the many collateral vessels supplying the stomach. Acid-suppressing therapy     Medications for the Treatment of Gastric Acidity  Medications for decreasing acidity are used for peptic ulcer, gastroesophageal reflux disease (GERD), and many forms of gastritis. Some medications are used in regimens for treating Helicobacter...  read more      should be started if the patient is not already receiving it.","Trong viêm dạ dày nặng, chảy máu được xử trí bằng truyền dịch và truyền máu nếu cần. Nên cố gắng cầm máu qua nội soi, với phẫu thuật là thủ thuật dự phòng nếu không thể kiểm soát chảy máu qua nội soi. Chụp mạch không có khả năng cầm chảy máu dạ dày nặng vì có rất nhiều mạch máu bàng hệ cung cấp máu cho dạ dày. Cần phải bắt đầu liệu pháp ức chế axit     Thuốc điều trị tăng axit dạ dày  Thuốc giảm axit được sử dụng để điều trị loét dạ dày, bệnh trào ngược dạ dày thực quản (GERD) và nhiều dạng viêm dạ dày. Một số loại thuốc được sử dụng trong phác đồ điều trị nhiễm Helicobacter...  đọc thêm      nếu bệnh nhân chưa dùng thuốc đó."
a2a94e4546eab1bd474727314865c6a2,en,"For milder gastritis, removing the offending agent and using medications to reduce gastric acidity (see Medications for the Treatment of Gastric Acidity     Medications for the Treatment of Gastric Acidity  Medications for decreasing acidity are used for peptic ulcer, gastroesophageal reflux disease (GERD), and many forms of gastritis. Some medications are used in regimens for treating Helicobacter...  read more     ) to limit further injury and promote healing may be all that is required.","Đối với viêm dạ dày nhẹ hơn, loại bỏ tác nhân gây bệnh và sử dụng thuốc làm giảm độ axit dạ dày (xem Thuốc điều trị chứng tăng axit dạ dày     Thuốc điều trị tăng axit dạ dày  Thuốc giảm axit được sử dụng để điều trị loét dạ dày, bệnh trào ngược dạ dày thực quản (GERD) và nhiều dạng viêm dạ dày. Một số loại thuốc được sử dụng trong phác đồ điều trị nhiễm Helicobacter...  đọc thêm     ) để hạn chế tổn thương thêm và thúc đẩy quá trình liền có thể là tất cả những gì cần thiết."
4c04991799454e265e4595ed069fd1b6,en,"Prophylaxis with acid-suppressive medications can reduce the incidence of acute stress gastritis. However, it mainly benefits certain high-risk intensive care unit patients, including those with severe burns, central nervous system trauma, coagulopathy, sepsis, shock, multiple trauma, mechanical ventilation for > 48 hours, chronic liver disease, acute kidney injury, hepatic or renal failure, multiorgan dysfunction, and history of peptic ulcer or gastrointestinal bleeding.","Dự phòng bằng thuốc ức chế axit có thể làm giảm tỷ lệ viêm dạ dày cấp tính do căng thẳng. Tuy nhiên, điều đó chủ yếu có lợi cho một số bệnh nhân trong khoa hồi sức tích cực có nguy cơ cao, bao gồm những người bị bỏng nặng, chấn thương hệ thần kinh trung ương, rối loạn đông máu, nhiễm trùng huyết, sốc, đa chấn thương, thở máy trong > 48 giờ, bệnh gan mạn tính, thương tổn thận cấp, suy gan hoặc suy thận, rối loạn chức năng đa cơ quan và tiền sử loét dạ dày tá tràng hoặc chảy máu đường tiêu hóa."
7ed3d1538005eab0f9f9d78c425b8195,en,"A 2020 guideline for gastrointestinal bleeding prophylaxis for critically ill patients recommends that in most critically ill patients the benefit of acid suppression must be weighed against the risk of pneumonia. The guideline includes a calculator to help assess the risk of gastrointestinal bleeding. There is a possible increased risk of nosocomial pneumonia in critically ill patients receiving acid suppression. A recent meta-analysis concluded that proton pump inhibitors (PPIs) and histamine-2 receptor antagonists may increase the risk of pneumonia (absolute increases 5% for PPIs and 3.4% for histamine-2 receptor antagonists; 1     Treatment references  Erosive gastritis is gastric mucosal erosion caused by damage to mucosal defenses. It is typically acute, manifesting with bleeding, but may be subacute or chronic with few or no symptoms. Diagnosis...  read more        ). However, a previous large clinical study of a PPI for patients at risk of gastrointestinal bleeding in the intensive care unit found no increased incidence of pneumonia (2     Treatment references  Erosive gastritis is gastric mucosal erosion caused by damage to mucosal defenses. It is typically acute, manifesting with bleeding, but may be subacute or chronic with few or no symptoms. Diagnosis...  read more        ). The guideline further recommends using a PPI rather than a histamine-2 receptor antagonist (weak recommendation) and recommends against using sucralfate.","Hướng dẫn dự phòng chảy máu đường tiêu hóa cho bệnh nhân bị bệnh nguy kịch năm 2020 khuyến nghị rằng ở hầu hết các bệnh nhân bị bệnh nguy kịch, lợi ích của việc ức chế tiết axit phải được cân nhắc với nguy cơ viêm phổi. Hướng dẫn bao gồm một máy tính để giúp đánh giá nguy cơ chảy máu đường tiêu hóa. Có thể có tăng nguy cơ mắc bệnh viêm phổi bệnh viện ở những bệnh nhân bị bệnh nguy kịch dùng thuốc ức chế tiết axit. Một phân tích tổng hợp gần đây kết luận rằng thuốc ức chế bơm proton (PPI) và thuốc đối kháng thụ thể histamine-2 có thể làm tăng nguy cơ bị viêm phổi (tăng tuyệt đối 5% đối với PPI và 3,4% đối với thuốc đối kháng thụ thể histamine-2; 1     Tài liệu tham khảo về điều trị  Viêm dạ dày ăn mòn là ăn mòn niêm mạc dạ dày do tổn thương hàng rào bảo vệ niêm mạc gây ra. Bệnh thường cấp tính, có biểu hiện chảy máu, nhưng có thể bán cấp hoặc mạn tính với ít hoặc không...  đọc thêm        ). Tuy nhiên, một nghiên cứu lâm sàng lớn trước đây về PPI cho những bệnh nhân có nguy cơ chảy máu đường tiêu hóa trong khoa hồi sức tích cực không tìm thấy tăng tỷ lệ bị viêm phổi (2     Tài liệu tham khảo về điều trị  Viêm dạ dày ăn mòn là ăn mòn niêm mạc dạ dày do tổn thương hàng rào bảo vệ niêm mạc gây ra. Bệnh thường cấp tính, có biểu hiện chảy máu, nhưng có thể bán cấp hoặc mạn tính với ít hoặc không...  đọc thêm        ). Hướng dẫn tiếp tục khuyến nghị sử dụng PPI thay vì thuốc đối kháng thụ thể histamine-2 (không khuyến nghị mạnh mẽ) và khuyến nghị không sử dụng sucralfate."
c4e67a62da564f663c30c08f841126ec,en,Early enteral feeding also can decrease the incidence of bleeding.,Cho ăn sớm qua đường ruột cũng có thể làm giảm tỷ lệ chảy máu.
f9801be3ac8f4595ab18cbc91a4c67d9,en,Acid suppression is not recommended for patients simply taking nonsteroidal anti-inflammatory drugs unless they have previously had an ulcer.,Thuốc ức chế axit không được khuyến nghị cho bệnh nhân chỉ dùng thuốc chống viêm không steroid trừ khi họ đã bị loét trước đó.
9ad5dc765f3e3b7a4e342154e47460db,en,"1. Wang Y, Ye Z, Ge L, et al: Efficacy and safety of gastrointestinal bleeding prophylaxis in critically ill patients: Systematic review and network meta-analysis. BMJ 368:l6744, 2020. doi: 10.1136/bmj.l6744PMCID","1. Wang Y, Ye Z, Ge L, et al: Efficacy and safety of gastrointestinal bleeding prophylaxis in critically ill patients: Systematic review and network meta-analysis. BMJ 368:l6744, 2020. doi: 10.1136/bmj.l6744PMCID"
dc001e20c470d5239f020e1dcdea7477,en,"2. Krag M, Marker S, Perner A, et al: Pantoprazole in patients at risk for gastrointestinal bleeding in the ICU. N Engl J Med 379(23):2199–2208, 2018. doi: 10.1056/NEJMoa1714919","2. Krag M, Marker S, Perner A, et al: Pantoprazole in patients at risk for gastrointestinal bleeding in the ICU. N Engl J Med 379(23):2199–2208, 2018. doi: 10.1056/NEJMoa1714919"
4434751d729b1d07dc49eb0e3aafd5f1,en,The following English-language resource may be useful. Please note that THE MANUAL is not responsible for the content of this resource.,Tài nguyên bằng tiếng Anh sau đây có thể hữu ích. Vui lòng lưu ý rằng CẨM NANG không chịu trách nhiệm về nội dung của tài liệu này.
aaf748f71d1d3434f8f84bf843651dcf,en,Guideline for gastrointestinal bleeding prophylaxis for critically ill patients (2020),Guideline for gastrointestinal bleeding prophylaxis for critically ill patients (2020)
89da7e6d76168df4c97e029781357b45,en,"Nonerosive gastritis refers to a variety of histologic abnormalities that are mainly the result of Helicobacter pylori infection     Helicobacter pylori Infection  Helicobacter pylori is a common gastric pathogen that causes gastritis, peptic ulcer disease, gastric adenocarcinoma, and low-grade gastric lymphoma. Infection may be asymptomatic or...  read more     . Most patients are asymptomatic. Diagnosis is by endoscopy. Treatment is eradication of H. pylori and sometimes acid suppression.","Viêm dạ dày không có tổn thương trợt là nhiều bất thường khác nhau về mô học chủ yếu do nhiễm Helicobacter pylori.     Nhiễm Helicobacter pylori  Helicobacter pylori là một mầm bệnh phổ biến ở dạ dày gây viêm dạ dày, loét dạ dày, ung thư biểu mô tuyến dạ dày và u lympho ở dạ dày mức độ thấp. Nhiễm bệnh có thể không có triệu chứng...  đọc thêm      Hầu hết bệnh nhân đều không có triệu chứng. Chẩn đoán bằng nội soi. Điều trị bằng diệt H. pylorivà đôi khi bằng thuốc ức chế axit."
e58235428def7343d4187ae138803a0f,en,"(See also Overview of Acid Secretion     Overview of Acid Secretion  Acid is secreted by parietal cells in the proximal two thirds (body) of the stomach. Gastric acid aids digestion by creating the optimal pH for pepsin and gastric lipase and by stimulating pancreatic...  read more      and Overview of Gastritis     Overview of Gastritis  Gastritis is inflammation of the gastric mucosa caused by any of several conditions, including infection (Helicobacter pylori), drugs (nonsteroidal anti-inflammatory drugs, alcohol),...  read more        .)","(Xem thêm Tổng quan về bài tiết axit     Tổng quan về bài tiết axit  Axit do các tế bào thành ở hai phần ba trên dạ dày (phần thân) tiết ra. A xít dạ dày hỗ trợ tiêu hóa bằng cách tạo ra độ pH tối ưu cho pepsin và lipase dạ dày và bằng cách kích thích quá trình...  đọc thêm      và Tổng quan về viêm dạ dày     Tổng quan về viêm dạ dày  Viêm dạ dày là tình trạng viêm niêm mạc dạ dày do các nguyên nhân sau gây ra, bao gồm nhiễm trùng (Helicobacter pylori), thuốc (thuốc chống viêm không steroid, rượu), căng thẳng và hiện...  đọc thêm        .)"
ba53abf4a6a8d42adcefbc7182227d6a,en,"Lymphocytes and plasma cells mixed with neutrophils are the predominant infiltrating inflammatory cells. Inflammation is superficial and may involve the antrum, body, or both. It is usually not accompanied by atrophy or metaplasia.","Tế bào lympho và tương bào cùng với bạch cầu trung tính là các tế bào viêm thâm nhiễm chủ yếu. Viêm ở nông và có thể xảy ra ở hang vị, thân vị hoặc cả hai. Bệnh thường không kèm theo teo hoặc chuyển sản."
95aab2c097aab556af551933cc94af09,en,Prevalence increases with age.,Tỷ lệ hiện mắc tăng theo tuổi.
4971ad0312a473dd64095e56081650d9,en,"Deep gastritis is more likely to be symptomatic (eg, vague dyspepsia).",Viêm dạ dày sâu nhiều khả năng là có triệu chứng (ví dụ: khó tiêu không rõ ràng).
f79ea49863de47ea8a798e6ea3744589,en,"Mononuclear cells and neutrophils infiltrate the entire mucosa to the level of the muscularis, but exudate or crypt abscesses seldom result, as might be expected by such infiltration. Distribution may be patchy.","Các tế bào đơn nhân và bạch cầu trung tính thâm nhiễm toàn bộ niêm mạc đến lớp cơ, tuy nhiên áp xe thể dịch tiết hoặc thể hốc hiếm khi xảy ra, vì có thể dự kiến do quá trình thâm nhiễm như vậy. Phân bố có thể lốm đốm."
3c2c61d7bde905d2f506cb94c2031d89,en,"Superficial gastritis may be present, as may partial gland atrophy and metaplasia.","Có thể có viêm dạ dày nông, như là teo và chuyển sản tuyến bán phần."
9cb0c61ec49c1b513e2a96ba683a898e,en,"Atrophy of gastric glands may follow in gastritis, most often long-standing antral gastritis (sometimes referred to as type B gastritis). Some patients with gastric atrophy have autoantibodies to parietal cells, usually in association with corpus gastritis (type A gastritis) and pernicious anemia.","Teo các tuyến dạ dày có thể xảy ra sau khi viêm dạ dày, thường gặp nhất là viêm dạ dày ở vùng hang vị kéo dài (đôi khi còn gọi là viêm dạ dày loại B). Một số bệnh nhân teo dạ dày có các tự kháng thể với tế bào thành, thường có liên quan với viêm thân vị dạ dày (viêm dạ dày loại A) và thiếu máu ác tính."
bf35d092f05e67fdcfacd22ddeaacfdf,en,"Atrophy may occur without specific symptoms. Endoscopically, the mucosa may appear normal until atrophy is advanced, when submucosal vascularity may be visible. As atrophy becomes complete, secretion of acid and pepsin diminishes and intrinsic factor may be lost, resulting in vitamin B12 malabsorption.","Teo có thể xảy ra mà không có các triệu chứng đặc hiệu. Về mặt nội soi, niêm mạc có thể bình thường cho đến khi teo tiến triển và có thể nhìn thấy được mạch máu dưới niêm mạc. Khi teo hoàn toàn, quá trình bài tiết axit và pepsin sẽ giảm và yếu tố nội sinh có thể bị mất, dẫn đến kém hấp thu vitamin B12."
ee16c8e4524922f9bd5a76f4d01de361,en,Two types of metaplasia are common in chronic nonerosive gastritis:,Hai loại chuyển sản phổ biến trong viêm dạ dày không trợt mạn tính:
a11c95828be8176ee3b3f12aeff9e3d7,en,Mucous gland,Tuyến nhày
d7bafacf20e0d2eb54a1b017e39e8bd0,en,Intestinal,Ruột
58eae4f50202e5604f5fd502dec992f6,en,"Mucous gland metaplasia (pseudopyloric metaplasia) occurs in the setting of severe atrophy of the gastric glands, which are progressively replaced by mucous glands (antral mucosa), especially along the lesser curve. Gastric ulcers may be present (typically at the junction of antral and corpus mucosa), but whether they are the cause or consequence of these metaplastic changes is not clear.","Chuyển sản tuyến nhày (chuyển sản giả môn vị) xảy ra trong trường hợp tuyến dạ dày bị teo nặng và được thay thế dần bằng tuyến nhày (tuyến nhày hang vị), đặc biệt là dọc theo bờ cong nhỏ. Có thể có loét dạ dày (điển hình là tại chỗ nối niêm mạc hang vị và thân vị), nhưng không rõ các vết loét này có phải là nguyên nhân hoặc hậu quả của những thay đổi về dị sản này hay không."
b75d7cdcd0506d6b3139ba40ebff89e0,en,"Intestinal metaplasia typically begins in the antrum in response to chronic mucosal injury and may extend to the body. Gastric mucosa cells change to resemble intestinal mucosa—with goblet cells, endocrine (enterochromaffin or enterochromaffin-like) cells, and rudimentary villi—and may even assume functional (absorptive) characteristics.","Chuyển sản ruột thường bắt đầu ở vùng hang vị để đáp ứng với tổn thương niêm mạc mạn tính và có thể lan rộng đến cơ thể. Các tế bào niêm mạc dạ dày thay đổi giống như niêm mạc ruột - với các tế bào cầu, các tế bào nội tiết (tế bào ruột ưa sắc hoặc giống tế bào ruột ưa sắc) và các nhung mao thô sơ - thậm chí có thể mang các đặc tính chức năng (hấp thụ)."
b65745d45def74b23df1ab5c5b06b6fe,en,"Intestinal metaplasia is classified histologically as complete (most common) or incomplete. With complete metaplasia, gastric mucosa is completely transformed into small-bowel mucosa, both histologically and functionally, with the ability to absorb nutrients and secrete peptides. In incomplete metaplasia, the epithelium assumes a histologic appearance closer to that of the large intestine and frequently exhibits dysplasia. Intestinal metaplasia may lead to stomach cancer     Stomach Cancer  Etiology of stomach cancer is multifactorial, but Helicobacter pylori plays a significant role. Symptoms include early satiety, obstruction, and bleeding but tend to occur late in the...  read more        .","Chuyển sản ruột được phân loại mô học thành dị sản hoàn toàn (phổ biến nhất) và không hoàn toàn. Với chuyển sản hoàn toàn, niêm mạc dạ dày hoàn toàn biến đổi thành niêm mạc ruột non, cả về mặt mô học và chức năng, với khả năng hấp thụ các chất dinh dưỡng và bài tiết ra peptide. Trong chuyển sản không hoàn toàn, biểu mô biểu hiện mô học gần giống đại tràng và thường có dạng loạn sản. Chuyển sản ruột có thể dẫn đến ung thư dạ dày     Ung thư dạ dày  Căn nguyên của ung thư dạ dày là đa yếu tố, nhưng Helicobacter pylori đóng một vai trò quan trọng. Triệu chứng của bệnh bao gồm cảm giác no sớm, chướng bụng và chảy máu nhưng có xu hướng...  đọc thêm        ."
d2eb5e2ed39c2409add14458766a48b9,en,"Most patients with H. pylori–associated gastritis are asymptomatic, although some have mild dyspepsia     Dyspepsia  Dyspepsia is a sensation of pain or discomfort in the upper abdomen; it often is recurrent. It may be described as indigestion, gassiness, early satiety, postprandial fullness, gnawing, or burning...  read more      or other vague symptoms.","Phần lớn bệnh nhân viêm dạ dày có H. pylori không có triệu chứng, mặc dù một số người có chứng khó tiêu     Khó tiêu  Khó tiêu là cảm giác đau hoặc khó chịu ở phần trên của bụng; cảm giác này thường tái phát. Nó có thể được mô tả như khó tiêu, đầy hơi, nhanh no, cảm giác đầy sau bữa ăn, cồn cào, hoặc nóng....  đọc thêm      nhẹ hoặc các triệu chứng mơ hồ khác."
f9bc40ec40051d7ba4276d08f03127fd,en,Endoscopy,Endoscopy
45e97e3e466395311fe95d5b84eec23a,en,"Often, the condition is discovered during endoscopy done for other purposes. Testing of asymptomatic patients is not indicated. Once gastritis is identified, testing for H. pylori     Diagnosis  Helicobacter pylori is a common gastric pathogen that causes gastritis, peptic ulcer disease, gastric adenocarcinoma, and low-grade gastric lymphoma. Infection may be asymptomatic or...  read more      is appropriate.","Thông thường, tình trạng này được phát hiện trong quá trình nội soi vì các mục đích khác. Không chỉ định thực hiện kiểm tra cho các bệnh nhân không có triệu chứng. Khi viêm dạ dày được xác định, xét nghiệm tìm H. H.pylori     Chẩn đoán  Helicobacter pylori là một mầm bệnh phổ biến ở dạ dày gây viêm dạ dày, loét dạ dày, ung thư biểu mô tuyến dạ dày và u lympho ở dạ dày mức độ thấp. Nhiễm bệnh có thể không có triệu chứng...  đọc thêm      là thích hợp."
b574cc0a24c5b2bf0b1351b0453f9dd4,en,Eradication of H. pylori,Diệt H. pylori
c9c5eb49caaabc5768f705ca3f9d0d17,en,Sometimes acid-suppressive medications,Đôi khi dùng thuốc ức chế axit
8df7018fb9401e2cc0585d77da4f0a87,en,"Treatment of chronic nonerosive gastritis is H. pylori eradication     Treatment  Helicobacter pylori is a common gastric pathogen that causes gastritis, peptic ulcer disease, gastric adenocarcinoma, and low-grade gastric lymphoma. Infection may be asymptomatic or...  read more     . Treatment of asymptomatic patients is somewhat controversial given the high prevalence of H. pylori–associated superficial gastritis and the relatively low incidence of clinical sequelae (ie, peptic ulcer disease). However, H. pylori is a group 1 carcinogen (1     Treatment reference  Nonerosive gastritis refers to a variety of histologic abnormalities that are mainly the result of Helicobacter pylori infection. Most patients are asymptomatic. Diagnosis is by endoscopy. Treatment...  read more     ); eradication removes the cancer risk.","Điều trị viêm dạ dày không trợt mạn tính là diệt H. tiệt trừ H.pylori     Điều trị  Helicobacter pylori là một mầm bệnh phổ biến ở dạ dày gây viêm dạ dày, loét dạ dày, ung thư biểu mô tuyến dạ dày và u lympho ở dạ dày mức độ thấp. Nhiễm bệnh có thể không có triệu chứng...  đọc thêm     . Điều trị bệnh nhân không có triệu chứng có phần gây tranh cãi do tỷ lệ hiện mắc viêm dạ nông do H. pylori cao và tỷ lệ di chứng trên lâm sàng tương đối thấp (ví dụ: bệnh loét dạ dày). Tuy nhiên, H. pylori là vi khuẩn gây ung thư nhóm 1 (1     Tài liệu tham khảo về điều trị  Viêm dạ dày không có tổn thương trợt là nhiều bất thường khác nhau về mô học chủ yếu do nhiễm Helicobacter pylori. Hầu hết bệnh nhân đều không có triệu chứng. Chẩn đoán bằng nội soi. Điều trị...  đọc thêm     ); diệt trừ vi khuẩn này làm giảm nguy cơ ung thư."
cc1e2874beaf69ec8fb6944c027f93f7,en,"In H. pylori–negative patients, treatment is directed at symptoms using acid-suppressive medications     Medications for the Treatment of Gastric Acidity  Medications for decreasing acidity are used for peptic ulcer, gastroesophageal reflux disease (GERD), and many forms of gastritis. Some medications are used in regimens for treating Helicobacter...  read more      (eg, H2 blockers, proton pump inhibitors) or antacids.","Ở những bệnh nhân âm tính với H. pylori, điều trị nhằm vào các triệu chứng bằng cách sử dụng  thuốc ức chế axit     Thuốc điều trị tăng axit dạ dày  Thuốc giảm axit được sử dụng để điều trị loét dạ dày, bệnh trào ngược dạ dày thực quản (GERD) và nhiều dạng viêm dạ dày. Một số loại thuốc được sử dụng trong phác đồ điều trị nhiễm Helicobacter...  đọc thêm      (ví dụ: thuốc chẹn H2, thuốc ức chế bơm proton) hoặc thuốc kháng axit."
308e0c282f08e7abd563d0d965212ffe,en,1. American Cancer Society: Known and probable human carcinogens. 2022. Accessed 1/20/22.,1. American Cancer Society: Known and probable human carcinogens. 2022 Truy cập ngày 20 tháng 1 năm 2022.
